file,energy/Ha,E(LUMO)/eV,E(HOMO)/eV,gap/eV,dipole moment magnitude (a.u.)
qm7_0.xyz,-40.428678039300,2.3356,-10.8726,13.2082,0.00161
qm7_1.xyz,-79.665193925272,2.0738,-9.4788,11.5526,0.00000
qm7_10.xyz,-116.419895919010,1.5118,-7.5937,9.1055,0.31128
qm7_100.xyz,-248.012546719354,-0.5805,-6.7523,6.1718,1.10319
qm7_1000.xyz,-288.481853498554,1.5537,-6.987,8.5407,1.22041
qm7_1001.xyz,-286.049052274747,0.3648,-8.7262,9.091,1.33564
qm7_1002.xyz,-285.966127308718,-0.0601,-7.2185,7.1584,0.09439
qm7_1003.xyz,-287.209512413616,0.0591,-7.1551,7.2142,0.12470
qm7_1004.xyz,-234.147228126655,1.4713,-7.0097,8.481,0.05264
qm7_1005.xyz,-287.302872377238,1.1064,-7.1082,8.2146,1.40279
qm7_1006.xyz,-287.203168239737,0.0394,-7.1701,7.2095,0.18487
qm7_1007.xyz,-287.230797628092,1.6185,-6.7429,8.3614,1.21375
qm7_1008.xyz,-288.469078729159,1.5802,-6.7526,8.3328,1.18050
qm7_1009.xyz,-288.482754350289,1.3875,-6.8457,8.2332,1.39003
qm7_101.xyz,-249.219025160742,1.9239,-6.4976,8.4215,0.33954
qm7_1010.xyz,-286.062614217634,-0.7329,-6.3161,5.5832,2.37045
qm7_1011.xyz,-288.485341576462,1.5033,-6.9514,8.4547,1.24451
qm7_1012.xyz,-287.289703263884,0.9735,-6.9513,7.9248,1.47690
qm7_1013.xyz,-287.304539432347,1.0758,-7.0072,8.083,1.41031
qm7_1014.xyz,-287.254761528663,-0.5579,-6.7496,6.1917,1.12861
qm7_1015.xyz,-232.918720712832,-0.4216,-6.4084,5.9868,0.29867
qm7_1016.xyz,-284.738725790754,-0.8337,-6.8882,6.0545,0.31040
qm7_1017.xyz,-286.036035874536,-0.2709,-6.9298,6.6589,1.16393
qm7_1018.xyz,-287.239080061276,1.5849,-7.0894,8.6743,0.93356
qm7_1019.xyz,-288.463345770420,1.9016,-6.4926,8.3942,0.33487
qm7_102.xyz,-194.914195405940,0.0205,-7.2962,7.3167,0.04085
qm7_1020.xyz,-284.804956487695,0.1807,-7.3338,7.5145,1.46384
qm7_1021.xyz,-286.066087785128,-0.5013,-6.2884,5.7871,2.33803
qm7_1022.xyz,-284.850561476182,-0.9591,-7.8746,6.9155,0.55644
qm7_1023.xyz,-288.482401497434,1.4115,-6.8333,8.2448,1.31578
qm7_1024.xyz,-286.053545533781,0.6706,-8.2779,8.9485,1.97688
qm7_1025.xyz,-286.035189494650,0.3683,-8.232,8.6003,1.24873
qm7_1026.xyz,-231.677438667367,0.1729,-6.7402,6.9131,0.00137
